timeslot,channel,source,destination,weight
15,0,a_4_4,a_5_5,4
15,0,a_0_4,a_0_5,5
15,1,a_3_2,a_3_3,1
15,2,a_1_2,a_0_3,1
16,0,a_3_3,a_4_4,2
16,0,a_0_3,a_0_4,3
16,1,a_3_1,a_3_2,1
17,0,a_4_4,a_5_5,2
17,0,a_0_4,a_0_5,3
17,1,a_3_2,a_3_3,1
18,0,a_3_4,a_4_4,3
18,0,a_0_4,t_1_5_0,1
19,0,a_4_4,a_5_5,3
19,0,a_0_4,a_0_5,1
20,0,a_4_4,t_5_4_0,1
20,0,a_1_3,a_0_4,1
21,0,a_4_4,a_5_5,1
21,0,a_0_4,a_0_5,1
22,0,a_4_4,t_5_5_0,1
23,0,a_4_4,a_5_5,1
24,0,a_3_3,a_4_4,1
25,0,a_4_4,a_5_5,1
