x,y,space,comm_range,disruption_range,R,nb_tag_loc,sink_allocation,nb_sink,nb_ch,agregation,directory,dist_sink,name
20,20,1,1.5,20,1,1,best,1,1,1,./result/ch1-agr1-TDMA-dist-13.5/,13.5,"Global TDMA"
20,20,1,1.5,2,1,1,best,1,1,1,./result/ch1-agr1-dist-13.5/,13.5,"1 Channel"
20,20,1,1.5,2,1,1,best,1,2,1,./result/ch2-agr1-dist-13.5/,13.5,"2 Channels"
20,20,1,1.5,2,1,1,best,1,3,1,./result/ch3-agr1-dist-13.5/,13.5,"3 Channels"
20,20,1,1.5,2,1,1,best,1,4,1,./result/ch4-agr1-dist-13.5/,13.5,"4 Channels"
20,20,1,1.5,2,1,1,best,1,5,1,./result/ch5-agr1-dist-13.5/,13.5,"5 Channels"
20,20,1,1.5,2,1,1,best,1,6,1,./result/ch6-agr1-dist-13.5/,13.5,"6 Channels"
20,20,1,1.5,2,1,1,best,1,7,1,./result/ch7-agr1-dist-13.5/,13.5,"7 Channels"
20,20,1,1.5,2,1,1,best,1,8,1,./result/ch8-agr1-dist-13.5/,13.5,"8 Channels"
